Tanuló neve;E-mail cím;Telefonszám;Lakcím;Iskola neve;Szakma megnevezése;Évfolyam/Osztály;Oktatási azonosító;Születési hely;Születési dátum;Anyja neve;TAJ-szám;Adóazonosító jel;Bankszámlaszám;Szerződés kezdete;Szerződés vége
Balogh Réka Zsófia;balogh.reka@tiszalok.edu.hu;+36 30 123 4501;4440 Tiszavasvári, Kossuth u. 12.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Épületgépész technikus;11. A;76543210001;Nyíregyháza;2007-03-14;Molnár Erzsébet;345 678 901;8765432101;10400111-12345678-12345600;2024-09-01;2025-06-30
Farkas Dániel Norbert;farkas.daniel@tiszalok.edu.hu;+36 30 123 4502;4440 Tiszavasvári, Petőfi u. 7.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Gépész technikus;11. A;76543210002;Debrecen;2007-06-22;Varga Katalin;456 789 012;8765432102;10400111-12345678-12345601;2024-09-01;2025-06-30
Kovács Anita Mária;kovacs.anita@tiszalok.edu.hu;+36 20 234 5601;4441 Nyírtelek, Aradi u. 3.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Vegyipari technikus;11. B;76543210003;Nyíregyháza;2007-01-08;Tóth Julianna;567 890 123;8765432103;10400222-23456789-23456700;2024-09-01;2025-06-30
Molnár Péter Ádám;molnar.peter@tiszalok.edu.hu;+36 70 345 6701;4400 Nyíregyháza, Széchenyi u. 55.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Mechatronikai technikus;11. A;76543210004;Tiszavasvári;2007-09-30;Balogh Mária;678 901 234;8765432104;10400333-34567890-34567800;2024-09-01;2025-06-30
Szabó Eszter Virág;szabo.eszter@tiszalok.edu.hu;+36 30 456 7801;4444 Demecser, Fő u. 18.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Elektronikai technikus;11. B;76543210005;Kisvárda;2007-04-17;Kis Ágnes;789 012 345;8765432105;10400444-45678901-45678900;2024-09-01;2025-06-30
Tóth Gábor István;toth.gabor@tiszalok.edu.hu;+36 20 567 8901;4431 Nyíregyháza-Oros, Rákóczi u. 9.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Számítógép-szerelő;11. A;76543210006;Nyíregyháza;2007-12-03;Horváth Ilona;890 123 456;8765432106;10400555-56789012-56789000;2024-09-01;2025-06-30
Varga Laura Nikolett;varga.laura@tiszalok.edu.hu;+36 70 678 9012;4516 Demecser, Alkotmány u. 4.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Épületgépész technikus;11. B;76543210007;Kisvárda;2007-07-25;Fekete Margit;901 234 567;8765432107;10400666-67890123-67890100;2024-09-01;2025-06-30
Horváth Máté Levente;horvath.mate@tiszalok.edu.hu;+36 30 789 0123;4440 Tiszavasvári, Szabadság u. 2.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Mechatronikai technikus;11. A;76543210008;Tiszaújváros;2007-02-19;Papp Zsuzsanna;012 345 678;8765432108;10400777-78901234-78901200;2024-09-01;2025-06-30
Kiss Noémi Alexandra;kiss.noemi@tiszalok.edu.hu;+36 20 890 1234;4444 Demecser, Kálvin u. 11.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Vegyipari technikus;11. B;76543210009;Debrecen;2007-11-07;Simonyi Erzsébet;123 456 789;8765432109;10400888-89012345-89012300;2024-09-01;2025-06-30
Nagy Balázs Kristóf;nagy.balazs@tiszalok.edu.hu;+36 70 901 2345;4441 Nyírtelek, Kossuth u. 6.;Tiszaloki SzC Vásárhelyi Pál Technikuma;Gépész technikus;11. A;76543210010;Nyíregyháza;2007-08-13;Lakatos Erika;234 567 890;8765432110;10400999-90123456-90123400;2024-09-01;2025-06-30
